student_id,age,gender,socioeconomic_status,attendance_rate,avg_grade,assignment_submission_rate,lms_logins_per_week,participation_score,disciplinary_incidents,financial_aid,first_generation,distance_from_school_km,previous_failures,dropout
STU-00022,21,Male,Medium,78.71,63.75,0.57,8,5.07,1,0,1,6.04,2,0
STU-00023,22,Male,High,85.64,76.94,0.825,9,4.65,1,0,0,20.04,1,0
STU-00024,17,Male,High,62.68,71.22,0.678,9,5.31,3,1,1,10.64,0,0
STU-00025,17,Male,Medium,68.33,61.93,0.609,7,4.58,4,0,0,6.18,1,0
STU-00026,20,Male,Low,75.71,63.15,0.754,8,6.36,1,1,0,7.18,3,0
STU-00027,20,Female,Medium,97.13,67.71,0.764,12,7.07,0,0,0,4.41,1,0
STU-00028,22,Female,Low,85.8,44.56,0.445,9,5.4,2,1,0,15.26,2,0
STU-00029,21,Male,Low,81.43,67.54,0.628,8,6.06,2,1,1,11.3,1,0
STU-00030,22,Female,Medium,71.83,70.75,0.655,9,5.27,0,0,0,20.97,1,0
STU-00031,18,Female,Medium,69.83,57.56,0.338,9,2.05,1,1,0,8.33,3,0
STU-00032,20,Male,High,86.29,91.95,1.0,12,4.28,0,0,0,6.38,1,0
STU-00033,18,Female,Medium,89.71,67.59,0.586,7,3.55,1,0,0,8.54,1,0
STU-00034,21,Male,Medium,84.3,84.59,0.918,8,6.55,0,0,1,20.42,1,0
STU-00035,17,Male,Medium,100.0,87.19,0.843,12,2.89,2,0,0,5.3,4,0
STU-00036,21,Female,Low,72.49,88.76,1.0,9,5.24,2,1,1,4.83,5,0
STU-00037,17,Male,Low,81.97,76.95,0.813,6,4.72,3,1,1,5.81,3,0
STU-00038,20,Female,Medium,63.38,50.96,0.633,7,5.39,1,1,0,4.34,1,0
STU-00039,22,Male,Low,82.32,82.26,0.724,8,4.66,3,1,0,8.97,2,0
STU-00040,21,Male,Medium,98.16,99.09,0.787,10,5.22,1,1,1,5.39,0,0
STU-00041,17,Female,Medium,70.54,51.14,0.542,9,5.55,2,0,0,17.43,1,0
STU-00042,19,Female,High,92.51,87.55,0.611,8,4.79,1,1,0,2.92,1,0
STU-00043,17,Female,Medium,97.85,90.57,0.811,12,5.45,1,0,0,11.48,0,0
STU-00044,17,Female,Medium,74.41,68.59,0.534,9,3.17,2,1,1,15.95,0,0
STU-00045,21,Female,High,88.39,54.96,0.457,6,4.64,0,0,0,2.83,1,0
STU-00046,22,Non-binary,High,100.0,81.79,0.863,10,5.6,2,0,1,10.28,2,0
STU-00047,21,Female,Medium,84.54,69.77,0.75,10,4.55,0,0,0,14.0,4,0
STU-00048,22,Male,Low,88.65,90.05,0.844,10,7.52,2,1,0,1.82,2,0
STU-00049,20,Female,Medium,62.49,64.11,0.676,9,3.84,1,0,0,3.77,0,0
STU-00050,20,Non-binary,Low,86.57,69.63,0.621,8,4.05,1,0,0,15.26,1,0
STU-00051,18,Female,Low,85.69,67.47,0.958,11,4.33,2,0,0,15.3,2,0
STU-00052,20,Female,Low,65.41,66.86,0.697,8,4.25,1,1,0,6.97,1,0
STU-00053,18,Male,Medium,71.39,69.84,0.616,13,3.2,1,1,0,8.55,2,0
STU-00054,19,Female,Medium,88.64,69.65,0.791,7,4.8,2,0,1,11.13,0,0
STU-00055,21,Male,Medium,78.67,75.4,0.884,14,3.98,0,0,0,13.69,1,0
STU-00056,20,Female,Medium,94.23,74.66,0.636,8,5.35,0,1,0,8.01,1,0
STU-00057,27,Male,Medium,85.42,50.08,0.345,11,1.92,1,0,0,13.69,2,0
STU-00058,18,Male,Medium,82.62,81.34,0.641,11,5.14,3,0,0,1.16,2,1
STU-00059,20,Male,Low,78.13,75.43,0.656,7,3.65,2,1,1,6.32,1,0
STU-00060,18,Female,Low,83.22,74.14,0.718,10,5.85,3,1,0,10.96,2,0
STU-00061,20,Female,Medium,90.83,74.17,0.53,8,5.26,1,0,0,9.37,0,0
STU-00062,20,Female,Medium,87.87,76.46,0.695,10,5.12,2,0,0,18.47,1,0
STU-00063,22,Female,Medium,77.35,80.32,0.753,9,5.88,0,0,0,3.74,1,0
STU-00064,20,Female,Medium,95.63,74.59,0.768,9,7.74,1,1,0,3.49,2,0
STU-00065,20,Male,Medium,89.23,86.43,0.905,9,7.49,1,1,0,19.94,4,0
STU-00066,20,Male,Medium,86.24,61.65,0.664,10,2.97,1,0,0,2.03,2,0
STU-00067,18,Male,Medium,83.01,76.53,0.961,8,4.76,0,0,0,12.33,1,0
STU-00068,19,Female,Medium,87.5,77.26,0.883,8,4.89,1,0,0,11.49,2,0
STU-00069,20,Female,Low,59.85,70.96,0.724,10,4.7,4,1,1,5.09,4,1
STU-00070,21,Male,Medium,84.65,66.44,0.541,10,3.61,1,0,0,19.56,1,0
STU-00071,22,Female,Low,98.04,71.16,0.618,7,4.4,1,1,0,7.27,3,0
STU-00072,20,Female,Medium,84.42,61.58,0.444,7,2.99,1,1,1,7.79,1,0
STU-00073,20,Female,High,84.17,71.48,0.72,5,5.31,1,0,0,3.82,3,0
STU-00074,17,Male,Low,73.45,70.01,0.729,10,5.32,0,1,0,4.25,1,0
STU-00075,22,Non-binary,Low,85.42,55.22,0.667,10,3.08,0,1,0,3.33,1,0
STU-00076,19,Female,Low,77.85,65.14,0.679,7,3.75,3,0,1,10.43,1,0
STU-00077,22,Male,Low,94.4,83.62,0.934,12,3.38,2,1,1,10.13,0,0
STU-00078,23,Female,Medium,72.5,68.77,0.807,13,1.3,3,1,0,1.11,3,0
STU-00079,20,Female,Medium,77.02,72.72,0.589,6,4.83,1,1,1,14.72,0,0
STU-00080,18,Male,Medium,75.39,56.13,0.506,7,4.25,0,0,0,6.68,3,0
STU-00081,20,Female,Medium,100.0,82.0,0.792,8,6.07,4,0,0,1.96,2,0
STU-00082,21,Male,Medium,79.91,73.64,0.636,11,6.65,3,1,1,18.7,1,0
STU-00083,20,Female,High,77.22,72.18,0.678,9,2.1,2,0,0,5.73,2,0
STU-00084,19,Female,Low,57.0,61.09,0.647,7,0.52,3,1,1,5.71,0,0
STU-00085,22,Male,Low,69.97,62.7,0.61,9,2.33,3,1,0,7.03,0,0
STU-00086,22,Female,Low,85.81,68.83,0.679,8,1.87,2,0,0,13.88,2,0
STU-00087,20,Male,Medium,87.76,66.73,0.547,8,3.64,0,0,1,5.03,1,0
STU-00088,17,Female,Medium,74.84,80.67,0.842,10,5.68,1,0,1,16.54,2,0
STU-00089,21,Male,Low,73.45,55.19,0.612,7,4.48,4,1,1,3.33,1,0
STU-00090,19,Female,Medium,100.0,84.58,0.724,9,7.06,1,0,1,5.45,0,0
STU-00091,21,Female,Low,100.0,98.33,0.78,10,6.31,2,1,1,0.81,1,0
STU-00092,21,Male,Medium,94.65,91.45,1.0,11,5.69,1,0,1,5.83,2,0
STU-00093,17,Female,Medium,99.15,87.69,1.0,12,5.73,0,0,1,2.38,3,0
STU-00094,21,Female,Medium,100.0,85.5,0.852,12,6.64,0,0,1,2.77,2,0
STU-00095,22,Non-binary,Medium,100.0,81.72,0.747,8,3.55,1,0,1,2.48,3,0
STU-00096,22,Male,Medium,78.68,63.75,0.76,12,0.32,2,1,1,7.22,3,0
STU-00097,21,Male,Medium,72.34,67.18,0.721,9,4.91,0,0,0,7.06,4,0
STU-00098,17,Male,Low,100.0,85.95,0.802,10,6.19,1,0,1,12.1,1,0
STU-00099,23,Male,Low,69.39,69.41,0.8,7,6.68,2,1,1,5.59,0,0
STU-00100,21,Male,High,71.94,79.17,0.671,12,5.16,1,1,1,10.58,2,0
STU-00101,18,Male,High,72.19,83.6,0.724,13,4.8,2,0,0,7.84,0,0
STU-00102,19,Female,Medium,80.55,72.08,0.75,13,4.39,1,0,0,4.65,1,0
STU-00103,21,Female,Low,58.17,62.04,0.633,8,2.31,1,1,1,14.26,3,0
STU-00104,22,Male,High,67.49,50.15,0.593,9,3.34,2,1,0,4.05,0,0
STU-00105,19,Male,Medium,75.15,93.64,1.0,12,6.72,0,1,0,1.68,1,0
STU-00106,22,Female,Medium,68.84,63.91,0.449,7,3.99,1,0,1,0.91,1,0
STU-00107,17,Female,Medium,93.69,86.49,0.837,11,7.0,4,1,1,4.88,0,0
STU-00108,18,Female,Low,80.07,66.49,0.886,10,5.39,2,1,1,6.3,2,0
STU-00109,17,Male,Low,86.35,69.27,0.611,13,3.38,0,1,0,6.38,1,0
STU-00110,19,Male,High,88.39,76.81,0.662,12,6.52,1,1,0,0.8,1,0
STU-00111,24,Female,Medium,79.73,60.82,0.34,8,4.97,1,0,0,9.28,1,0
STU-00112,25,Male,Low,90.87,51.02,0.536,12,4.86,1,0,0,5.54,2,0
STU-00113,21,Male,Medium,86.97,88.34,0.918,10,6.43,0,1,0,11.62,0,0
STU-00114,19,Male,Medium,78.5,78.14,0.829,8,5.69,0,1,0,7.19,0,0
STU-00115,20,Female,Low,61.48,52.55,0.413,7,2.23,1,0,1,10.33,1,1
STU-00116,21,Male,High,88.98,83.98,0.809,10,5.03,0,0,0,2.16,0,0
STU-00117,17,Male,Medium,68.13,75.94,0.767,7,3.05,0,0,0,11.64,5,0
STU-00118,19,Male,Medium,86.18,69.44,0.69,8,4.52,3,0,0,8.79,1,0
STU-00119,24,Female,Medium,82.87,78.9,0.635,6,6.0,2,1,0,4.16,2,0
STU-00120,18,Male,Medium,67.04,77.25,0.761,7,5.43,2,0,1,18.39,2,0
STU-00121,19,Male,Medium,84.84,61.34,0.516,9,5.05,2,1,0,27.12,2,0
STU-00122,21,Female,Medium,84.1,80.7,0.557,11,5.71,0,0,0,4.25,3,0
STU-00123,21,Female,Low,82.14,75.27,0.816,11,4.6,1,1,1,12.26,0,0
STU-00124,19,Male,Medium,83.62,93.94,0.914,11,3.84,0,0,0,6.84,1,0
STU-00125,21,Male,Low,72.82,72.73,0.783,6,4.36,2,1,0,10.03,1,0
STU-00126,22,Female,Medium,88.51,73.37,0.654,8,4.77,4,0,0,8.25,1,0
STU-00127,25,Female,Medium,74.44,67.78,0.745,9,5.48,0,0,0,11.99,2,0
STU-00128,20,Female,Low,68.18,85.16,0.943,11,5.6,0,1,0,1.11,1,0
STU-00129,20,Male,Low,87.42,70.61,0.905,9,7.04,2,1,0,9.81,2,0
STU-00130,24,Non-binary,Medium,92.3,85.17,0.918,8,3.07,4,1,0,8.57,1,0
STU-00131,19,Female,Low,86.67,71.42,0.747,12,3.97,0,1,1,7.43,3,0
STU-00132,18,Female,High,80.97,86.43,0.666,8,4.45,0,0,1,15.47,1,0
STU-00133,21,Female,Medium,60.67,75.43,0.723,6,4.51,1,0,0,2.85,0,0
STU-00134,23,Female,Medium,98.3,81.96,0.622,10,8.15,2,0,1,11.58,1,0
STU-00135,21,Male,Medium,60.49,59.97,0.503,7,1.76,1,0,0,3.88,1,0
STU-00136,20,Male,Low,86.45,69.39,0.918,9,4.63,3,1,0,4.81,3,0
STU-00137,17,Female,High,100.0,67.48,0.544,10,4.45,1,0,0,4.24,1,0
STU-00138,20,Female,Medium,83.64,76.15,0.461,7,3.0,0,0,0,7.34,0,0
STU-00139,23,Female,Medium,85.2,76.7,0.845,9,4.09,1,0,0,11.71,1,0
STU-00140,18,Male,Low,84.17,64.44,0.56,9,4.44,0,0,0,6.87,1,0
STU-00141,20,Male,Medium,84.18,57.06,0.668,6,6.1,0,0,0,13.03,1,0
STU-00142,20,Male,Medium,100.0,85.06,0.679,12,5.64,2,1,0,5.31,2,0
STU-00143,19,Female,High,73.98,75.58,0.686,6,3.12,1,0,1,1.84,3,0
STU-00144,21,Male,Medium,71.34,73.19,0.86,7,4.49,0,1,0,8.2,3,0
STU-00145,21,Female,Medium,78.4,62.73,0.467,10,2.37,1,0,0,6.01,1,0
STU-00146,21,Male,Low,99.15,83.76,0.788,11,7.16,1,0,1,18.11,2,0
STU-00147,18,Male,Medium,75.65,69.53,0.72,9,6.57,2,1,0,3.17,5,1
STU-00148,17,Male,Medium,86.73,85.28,0.735,6,2.82,1,1,1,9.19,0,0
STU-00149,21,Male,Medium,93.78,70.27,0.72,9,5.64,0,1,0,6.9,2,0
STU-00150,19,Female,Low,88.57,86.22,0.832,10,4.36,0,1,1,2.0,0,0
STU-00151,24,Male,High,94.45,97.19,0.989,10,6.3,2,1,0,1.41,1,0
STU-00152,24,Female,High,98.85,85.36,1.0,13,6.33,1,1,0,1.51,2,0
STU-00153,25,Female,Low,83.39,76.26,1.0,14,3.88,3,1,0,11.69,2,0
STU-00154,19,Female,Medium,76.97,79.79,0.829,10,6.61,0,0,0,6.76,1,0
STU-00155,22,Female,Low,81.62,61.12,0.598,8,4.17,1,0,0,10.16,1,0
STU-00156,22,Female,Medium,78.27,67.71,0.722,11,3.97,2,0,1,10.5,6,0
STU-00157,22,Female,Low,100.0,82.04,0.766,9,5.91,3,0,0,20.06,0,0
STU-00158,20,Male,Medium,76.14,91.82,0.688,4,3.21,2,0,0,13.58,0,0
STU-00159,23,Female,Medium,87.31,64.95,0.639,7,4.52,1,1,1,6.71,3,0
STU-00160,21,Female,Medium,65.49,82.81,0.93,5,2.15,2,0,0,9.69,1,0
STU-00161,21,Non-binary,Low,81.46,69.37,0.507,8,0.79,2,0,1,2.59,4,1
STU-00162,17,Male,High,80.09,74.85,0.613,8,3.01,2,0,0,2.18,1,0
STU-00163,22,Female,Low,87.43,86.35,0.761,7,4.42,1,0,1,6.12,0,0
STU-00164,20,Female,Low,87.72,94.52,0.947,9,3.32,0,1,1,4.03,1,0
STU-00165,21,Male,Medium,97.59,86.07,1.0,8,5.69,0,0,0,7.08,0,0
STU-00166,21,Male,Medium,96.71,93.07,0.792,10,4.94,1,0,1,4.86,1,0
STU-00167,21,Female,High,82.52,67.16,0.675,8,4.59,0,0,1,12.88,4,0
STU-00168,20,Male,High,72.86,66.43,0.658,10,5.05,2,1,0,9.53,0,0
STU-00169,22,Female,Medium,72.9,56.47,0.535,8,6.19,0,0,1,4.23,1,0
STU-00170,20,Female,High,86.58,73.15,0.71,12,5.57,0,0,0,10.59,3,0
STU-00171,17,Male,Low,81.74,77.09,0.695,8,3.32,2,0,1,2.67,1,0
STU-00172,22,Male,Medium,84.84,77.84,1.0,14,6.75,4,0,1,6.58,2,1
STU-00173,19,Male,Low,74.11,85.05,0.909,9,7.01,1,1,0,13.09,1,0
STU-00174,18,Female,High,99.06,100.0,0.895,10,4.55,0,1,0,1.12,2,0
STU-00175,18,Female,Low,63.8,61.46,0.756,13,2.6,0,1,1,15.93,3,0
STU-00176,21,Female,Low,73.5,60.69,0.639,5,2.16,2,0,1,5.02,2,0
STU-00177,20,Female,Medium,70.15,80.27,0.785,8,3.68,0,0,1,13.26,2,0
STU-00178,17,Female,High,80.95,88.25,0.826,6,5.61,1,0,0,5.03,0,0
STU-00179,20,Male,High,96.96,87.7,0.813,7,7.84,3,0,0,1.65,0,0
STU-00180,23,Male,Medium,78.83,79.9,0.628,5,5.61,3,1,0,4.41,0,0
STU-00181,20,Male,High,84.37,82.74,0.599,10,5.05,2,0,0,14.96,0,0
STU-00182,20,Female,High,90.56,70.33,0.736,7,5.29,0,1,0,7.76,1,0
STU-00183,23,Female,Medium,78.31,60.4,0.582,8,4.74,0,0,1,13.46,3,0
STU-00184,22,Male,Medium,86.21,75.87,0.845,11,6.01,1,0,0,5.14,2,0
STU-00185,23,Female,Medium,84.76,73.67,0.614,10,6.4,1,1,1,3.58,4,0
STU-00186,17,Male,Medium,69.56,71.16,0.567,9,3.72,1,0,0,12.91,1,0
STU-00187,24,Female,Medium,76.89,70.6,0.787,11,5.15,1,0,0,6.68,0,0
STU-00188,22,Male,Low,83.9,55.44,0.527,12,3.69,0,1,1,8.67,0,0
STU-00189,26,Male,Medium,96.1,60.01,0.704,8,5.54,1,1,0,9.16,1,0
STU-00190,19,Male,Low,94.09,84.74,0.821,11,5.3,1,1,0,1.04,1,0
STU-00191,17,Male,High,100.0,78.12,0.985,11,4.79,0,0,1,10.88,1,0
STU-00192,21,Male,Low,85.34,70.84,0.787,9,6.38,1,1,1,2.69,4,0
STU-00193,20,Female,Low,75.45,62.84,0.676,6,6.44,2,0,0,1.4,1,0
STU-00194,22,Male,High,82.55,67.24,0.761,8,4.9,0,0,1,4.57,0,0
STU-00195,23,Male,Low,78.75,60.6,0.574,8,4.65,3,1,1,5.92,2,0
STU-00196,20,Non-binary,Low,75.51,78.64,0.567,11,5.22,2,1,0,17.05,3,0
STU-00197,20,Female,Medium,86.21,73.99,0.767,8,4.93,3,0,1,11.31,1,0
STU-00198,22,Female,High,87.97,85.33,1.0,6,6.22,0,0,1,1.3,1,0
STU-00199,20,Male,Low,67.09,72.09,0.432,8,2.9,3,0,1,8.6,3,0
STU-00200,20,Male,Medium,93.97,83.27,0.86,8,5.01,3,1,0,6.63,1,0
STU-00201,23,Female,Medium,61.8,72.68,0.528,7,4.0,0,0,0,3.1,1,1
STU-00202,23,Female,High,80.8,75.68,0.735,10,5.51,1,0,0,10.47,2,0
STU-00203,23,Female,Medium,94.64,94.07,0.908,10,7.25,0,0,0,17.0,0,0
STU-00204,20,Female,Low,86.68,82.04,0.883,9,5.52,3,1,0,7.12,1,0
STU-00205,17,Female,Low,76.07,78.28,0.786,9,3.06,2,1,1,5.1,2,0
STU-00206,20,Female,Low,100.0,70.81,0.861,12,7.6,1,1,1,7.41,4,0
STU-00207,19,Female,Low,75.16,70.91,0.837,7,3.83,1,0,0,8.62,2,0
STU-00208,20,Male,Medium,59.98,45.44,0.452,8,1.89,0,0,0,23.26,3,1
STU-00209,19,Female,Low,84.98,87.0,0.968,8,4.98,4,1,1,3.84,2,0
STU-00210,20,Female,Medium,62.44,58.74,0.553,9,0.94,2,1,1,3.98,1,0
STU-00211,18,Female,Medium,72.85,65.12,0.588,6,3.66,1,0,1,12.69,1,1
STU-00212,18,Female,Medium,88.85,63.97,0.492,10,5.24,3,0,0,4.73,2,0
STU-00213,23,Non-binary,Low,74.93,67.8,0.827,9,4.21,0,1,0,0.96,2,0
STU-00214,18,Male,High,89.64,77.09,0.714,10,6.99,0,1,1,17.14,2,0
STU-00215,21,Female,Medium,69.26,86.47,0.541,10,5.44,0,0,0,16.53,0,0
STU-00216,23,Female,Medium,91.44,87.49,0.906,9,7.06,1,0,1,2.31,2,0
STU-00217,22,Female,Low,61.4,56.53,0.519,7,0.52,6,1,1,7.13,3,0
STU-00218,22,Female,Low,94.5,60.9,0.574,10,6.9,1,1,1,1.37,1,0
STU-00219,21,Female,High,78.02,51.36,0.499,8,3.57,2,0,1,11.94,2,1
STU-00220,22,Female,Medium,98.84,72.18,0.667,11,7.73,0,0,0,11.57,3,0
STU-00221,23,Female,Medium,72.75,56.61,0.9,10,4.11,3,1,0,6.75,4,1
STU-00222,21,Male,Medium,100.0,86.49,1.0,10,6.3,1,1,0,13.98,2,0
STU-00223,17,Female,Medium,71.47,67.85,0.754,11,4.55,1,0,0,1.52,4,0
STU-00224,19,Female,High,63.52,67.41,0.695,9,2.58,1,0,0,8.07,3,1
STU-00225,22,Male,Low,80.47,61.34,0.749,8,2.55,3,1,1,0.96,2,0
STU-00226,19,Female,High,96.82,84.75,0.846,9,2.51,0,0,1,3.03,0,0
STU-00227,24,Female,Low,88.7,60.57,0.705,9,9.18,1,1,1,1.34,1,0
STU-00228,20,Female,Medium,94.79,79.62,0.839,11,3.42,1,0,1,18.82,1,0
STU-00229,21,Female,Medium,90.92,86.94,0.851,6,3.3,1,1,0,13.59,0,0
STU-00230,23,Female,Low,70.98,62.61,0.737,7,5.15,3,1,1,1.06,5,0
STU-00231,20,Male,Low,88.43,79.08,0.717,9,3.08,1,1,0,8.44,0,0
STU-00232,21,Male,Medium,83.02,55.08,0.566,6,2.09,2,1,0,1.07,1,0
STU-00233,22,Female,High,75.44,52.39,0.418,6,0.0,2,1,0,10.89,2,0
STU-00234,17,Female,Medium,83.97,78.58,0.66,9,5.1,0,1,1,12.58,0,0
STU-00235,20,Male,High,82.63,86.88,0.532,8,2.72,1,1,0,11.0,2,0
STU-00236,22,Male,High,98.83,81.8,0.846,10,6.86,1,0,0,8.41,0,0
STU-00237,21,Female,Medium,76.34,93.09,0.977,7,5.26,1,0,1,5.91,2,0
STU-00238,24,Female,Medium,75.82,56.96,0.706,8,4.59,2,0,0,8.02,3,0
STU-00239,17,Female,Low,72.31,60.11,0.47,5,2.92,2,0,0,3.14,3,0
STU-00240,17,Male,Low,100.0,81.6,0.842,13,5.61,3,1,1,8.45,1,0
STU-00241,22,Female,High,76.18,77.96,0.758,12,3.4,3,1,0,5.24,2,0
STU-00242,22,Female,Medium,96.27,75.37,0.824,9,4.65,3,0,0,1.36,2,0
STU-00243,20,Female,Low,68.65,54.56,0.476,6,1.88,1,0,0,2.7,1,1
STU-00244,21,Female,Medium,87.57,83.24,0.763,11,7.3,2,0,0,12.54,0,0
STU-00245,22,Female,Medium,84.89,77.08,0.564,10,3.87,0,1,1,1.5,0,0
STU-00246,19,Male,High,96.82,79.78,0.688,13,2.19,0,0,1,7.52,0,0
STU-00247,19,Male,Medium,93.97,85.09,0.82,14,6.02,4,0,0,4.98,2,0
STU-00248,21,Female,Medium,82.9,73.43,0.739,6,3.77,0,1,0,2.68,0,0
STU-00249,22,Female,Medium,76.09,70.13,0.487,10,3.72,3,0,0,14.19,2,0
STU-00250,18,Male,Medium,99.87,81.17,0.724,10,5.24,4,0,0,15.85,0,0
STU-00251,20,Female,Medium,74.99,62.79,0.645,10,6.33,1,1,0,1.68,4,0
STU-00252,20,Female,High,58.31,55.51,0.732,9,3.23,1,1,1,7.68,1,0
STU-00253,21,Female,Medium,61.56,59.29,0.494,9,4.29,2,0,0,5.57,2,0
STU-00254,20,Male,Low,62.23,62.39,0.681,10,4.78,3,1,0,7.46,4,0
STU-00255,19,Male,Low,86.55,55.03,0.491,8,2.35,1,1,0,32.42,1,0
STU-00256,23,Male,Medium,100.0,92.45,0.83,9,6.22,2,0,0,5.02,1,0
STU-00257,19,Male,High,60.81,66.12,0.55,10,2.23,0,0,0,3.53,2,0
STU-00258,20,Female,Low,71.39,55.82,0.44,6,1.73,0,1,1,6.31,3,0
STU-00259,17,Female,Low,80.98,87.24,0.782,13,3.26,2,1,1,8.87,0,0
STU-00260,19,Female,Medium,99.0,82.94,0.927,9,7.37,2,0,1,4.81,0,0
STU-00261,22,Male,Low,71.33,53.09,0.451,7,7.15,3,0,1,30.63,2,1
STU-00262,21,Male,High,89.75,95.55,0.802,10,4.28,1,0,0,3.31,3,0
STU-00263,22,Female,Medium,79.25,86.59,0.858,7,5.41,3,0,1,11.06,1,0
STU-00264,22,Male,Low,100.0,71.11,0.699,7,5.97,1,0,0,17.95,2,0
STU-00265,25,Female,High,84.84,74.24,0.717,11,4.17,1,1,0,0.5,0,0
STU-00266,19,Female,Low,83.91,67.9,0.701,6,6.79,0,1,0,9.44,4,0
STU-00267,17,Female,Low,80.93,52.15,0.412,13,6.84,1,0,1,3.45,3,0
STU-00268,18,Male,Low,75.44,71.66,0.595,8,3.26,0,1,1,2.72,3,0
STU-00269,19,Male,Low,90.45,84.07,0.929,8,8.27,4,1,1,5.92,2,0
STU-00270,18,Male,Low,67.25,71.05,0.68,9,3.24,0,1,0,17.14,2,0
STU-00271,21,Male,Low,57.98,60.36,0.676,3,2.22,1,1,1,12.96,1,1
STU-00272,23,Male,Low,78.35,79.23,0.916,9,5.06,3,1,1,1.33,1,0
STU-00273,24,Male,Low,88.97,63.55,0.734,9,6.37,4,1,1,12.9,3,0
STU-00274,22,Male,Medium,75.61,89.48,0.694,7,4.28,1,1,1,3.38,2,0
STU-00275,25,Female,Medium,84.05,67.62,0.654,8,5.71,2,0,0,15.28,6,0
STU-00276,20,Male,Medium,68.57,61.3,0.738,11,4.56,1,0,0,0.78,5,1
STU-00277,17,Male,Medium,93.69,74.22,0.788,10,7.43,0,0,0,9.97,0,0
STU-00278,23,Male,Medium,89.17,71.32,0.722,10,5.87,0,0,0,3.02,1,0
STU-00279,17,Female,High,83.47,74.89,0.534,7,6.41,1,1,0,12.81,3,0
STU-00280,19,Male,High,85.11,75.29,0.661,7,3.54,1,1,0,20.25,1,0
STU-00281,22,Male,Low,64.67,64.54,0.65,8,3.5,2,0,1,6.0,3,0
STU-00282,20,Female,Low,65.16,55.29,0.39,3,2.98,2,0,0,4.24,3,1
STU-00283,20,Non-binary,Low,78.66,71.62,0.798,7,3.7,2,1,1,5.35,2,0
STU-00284,18,Female,Low,85.65,62.41,0.609,7,3.19,2,1,0,6.41,2,0
STU-00285,20,Female,Medium,88.21,84.66,0.579,5,5.16,0,0,1,9.74,5,0
STU-00286,23,Female,Medium,78.01,79.64,0.705,10,5.5,2,1,1,1.49,2,0
STU-00287,21,Male,Low,88.2,74.48,0.693,9,5.15,4,1,1,2.41,3,0
STU-00288,19,Male,Medium,97.63,75.36,0.72,9,6.98,0,0,1,7.31,1,0
STU-00289,18,Female,Medium,81.02,77.0,0.92,11,3.85,1,1,0,6.57,0,0
STU-00290,19,Male,Low,83.41,63.36,0.7,6,4.25,1,1,1,2.26,3,0
STU-00291,21,Female,High,80.96,75.96,0.577,6,2.64,1,0,1,14.79,1,0
STU-00292,21,Female,Low,78.61,68.41,0.496,10,4.12,2,1,1,3.79,0,0
STU-00293,19,Male,High,85.12,100.0,0.918,14,6.25,1,0,1,23.12,1,0
STU-00294,17,Male,Low,98.74,67.32,0.681,11,7.3,0,1,0,9.48,2,0
STU-00295,21,Male,High,93.32,54.87,0.676,11,3.52,2,1,1,12.1,0,0
STU-00296,19,Male,High,92.33,74.69,0.937,9,6.47,0,1,1,8.04,0,0
STU-00297,22,Non-binary,High,78.26,57.16,0.791,8,6.86,1,0,0,4.27,3,0
